Subject;Female;Male;Total
01 Medicine and dentistry;42765;27605;70370
02 Subjects allied to medicine;234085;61435;295520
03 Biological and sport sciences;55585;57460;113045
04 Psychology;96905;22175;119080
05 Veterinary sciences;8700;1945;10645
06 Agriculture, food and related studies;10745;5995;16740
07 Physical sciences;28605;41870;70475
08 General and others in sciences;3385;3060;6445
09 Mathematical sciences;17470;29320;46790
10 Engineering and technology;34340;138945;173285
11 Computing;26500;105485;131985
12 Geographical and environmental studies;19790;15235;35025
13 Architecture, building and planning;22695;36875;59570
14 Humanities and liberal arts (non-specific);6555;2755;9310
15 Social sciences;173340;87150;260490
16 Law;78800;43955;122755
17 Business and management;199575;213240;412815
18 Communications and media;28705;17800;46505
19 Language and area studies;72820;29155;101975
20 Historical, philosophical and religious studies;43945;36770;80715
21 Creative arts and design;119425;67600;187025
22 Education and teaching;100365;29535;129900
23 Combined and general studies;19580;12340;31920
