Year;Kor;Uzb;Uzb_per;Kor_per
2010;1995000;274500;3.2;-6.8
2011;2070000;253000;3.75939849624061;-7.83242258652095
2012;2100000;258300;1.44927536231885;2.09486166007906
2013;2130000;259100;1.42857142857142;0.309717382888119
2014;2130000;261500;0;0.926283288305663
2015;2110000;264300;-0.938967136150237;1.07074569789676
2016;2080000;268300;-1.4218009478673;1.51343170639424
2017;2050000;297800;-1.44230769230769;10.9951546775997
2018;2030000;360200;-0.975609756097562;20.9536601746138
2019;2000000;441000;-1.47783251231527;22.4319822320933
2020;1980000;590077;-1;33.8043083900227
