,Название,Город,Бакалавр,Магистр,,Стоимость проживания в Южной Корее,,
1,Сеульский национальный университет,Сеул,"6,775 USD","4,303 USD",,Расходы - USD/Month.,Мин.,Сред.
2,Корейский ведущий научно-технический институт,Тэджон,"7,000 USD","27,000 USD",,Жильё,259,391
3,Университет Корё,Сеул,"11,222 USD","11,000 USD",,Питание,298,431
4,Университет Ёнсе,Сеул,"8,236 USD","12,068 USD",,Транспорт,38,106
5,Университет Сонгюнгван,Сувон,"12,900 USD","14,820 USD",,Связь и электричество,64,89
6,Пхоханский университет науки и технологии,Пхохан,"10,819 USD","10,819 USD",,Одежда,24,89
7,Университет Ханянг,Сеул,"11,252 USD","12,584 USD",,Отдых и спорт,30,90
8,Университет Кён-хи,Сеул,"7,579 USD",,,Итого,714,"1,196"
9,Женский университет Ихва,Сеул,,,,Варианты проживания в Южной Корее,USD/Month.,
10,Пусанский национальный университет,Янсан,,,,Отдельная комната не в центре,262,
11,Sogang University,Сеул,"7,000 USD","7,000 USD",,Отдельная комната в центре,395,
12,Chung-Ang University,Сеул,"11,322 USD","11,322 USD",,1-комнатная квартира не в центре,296,
13,Корейский католический университет,Сеул,,,,1-комнатная квартира в центре,442,
14,Hankuk University of Foreign Studies,Сеул,"12,366 USD","12,366 USD",,,,
15,Dongguk University,Сеул,"7,111 USD","11,050 USD",,,,
16,Национальный университет Кёнгбук,Санджу,"4,118 USD","5,129 USD",,,,
17,Chonbuk National University,Чонджу,,,,,,
18,Inha University,Инчхон,"7,000 USD","9,000 USD",,,,
19,University of Seoul,Сеул,"3,000 USD",,,,,
20,Ajou University,Сувон,"8,665 USD","6,754 USD",,,,
